fecha_trimestre,sector_economico,rta,miles_de_puestos,salario_anual,salario_mensual
2016-01-01,"A - Agricultura, ganadería, caza y silvicultura",9974508.093301047,805,12390693.283603786,1032557.7736336488
2016-01-01,B - Pesca,644139.3373350105,17,37890549.25500062,3157545.771250052
2016-01-01,C -Explotación de minas y canteras,9828903.630424622,100,98289036.30424623,8190753.025353853
2016-01-01,D - Industria manufacturera,54651668.48318553,1714,31885454.19089004,2657121.18257417
2016-01-01,"E - Electricidad, gas y agua",6938087.749003524,105,66077026.18098595,5506418.848415496
2016-01-01,F -Construcción,13554980.401957847,850,15947035.767009232,1328919.6472507694
2016-01-01,G - Comercio,42834105.19269504,1902,22520560.038220316,1876713.3365183596
2016-01-01,H - Hoteles y restaurantes,7089115.666128383,501,14149931.46931813,1179160.9557765108
2016-01-01,"I -Transporte, almacenamiento y comunicaciones",30885916.815654542,881,35057794.34240016,2921482.8618666804
2016-01-01,J -Intermediación financiera,18666295.33465814,279,66904284.35361339,5575357.029467783
2016-01-01,"K - Actividades inmobiliarias, empresariales y de alquiler",25016310.64949598,927,26986311.380254563,2248859.2816878804
2016-01-01,L -Administración pública y defensa; planes de seguridad social de afiliación obligatoria,64216394.77283721,1558,41217198.185389735,3434766.5154491444
2016-01-01,M -Enseñanza,44666358.763244666,1973,22638803.225162018,1886566.9354301682
2016-01-01,N -Servicios sociales y de salud,23495257.95312528,974,24122441.43031343,2010203.4525261193
2016-01-01,"O -Otras actividades de servicios comunitarias, sociales y personales",14800996.510337766,797,18570886.46215529,1547573.8718462742
2016-01-01,P -Hogares privados con servicio doméstico,6201876.701896933,1635,3793196.7595699895,316099.7299641658
2016-01-01,TOTAL GENERAL,373464916.05528146,15017,24869475.664598882,2072456.30538324
2016-01-01,TOTAL SECTOR PUBLICO,112804893.81011075,3400,33177909.94415022,2764825.828679185
2016-01-01,TOTAL EXCLUIDO SECTOR PUBLICO,260660022.24517074,11617,22437808.577530406,1869817.3814608671
2016-04-01,"A - Agricultura, ganadería, caza y silvicultura",9544744.804664062,805,11856825.844303183,988068.8203585986
2016-04-01,B - Pesca,756672.8065742363,18,42037378.14301312,3503114.845251093
2016-04-01,C -Explotación de minas y canteras,8361474.754264486,102,81975242.68886751,6831270.224072292
2016-04-01,D - Industria manufacturera,51028228.60858951,1685,30283815.19797597,2523651.2664979976
2016-04-01,"E - Electricidad, gas y agua",5978989.916130414,127,47078660.75693239,3923221.729744366
2016-04-01,F -Construcción,14373002.749959016,919,15639828.890053336,1303319.0741711112
2016-04-01,G - Comercio,41752177.67584501,1868,22351272.845741443,1862606.0704784535
2016-04-01,H - Hoteles y restaurantes,6250646.246981697,486,12861412.030826537,1071784.3359022115
2016-04-01,"I -Transporte, almacenamiento y comunicaciones",27960799.18038209,903,30964340.17761029,2580361.6814675243
2016-04-01,J -Intermediación financiera,17915153.30762578,281,63754993.97731595,5312916.164776329
2016-04-01,"K - Actividades inmobiliarias, empresariales y de alquiler",23287669.025322665,899,25903969.994797178,2158664.166233098
2016-04-01,L -Administración pública y defensa; planes de seguridad social de afiliación obligatoria,63318977.500582606,1554,40745802.767427675,3395483.5639523063
2016-04-01,M -Enseñanza,44799994.05138361,2027,22101625.087017074,1841802.090584756
2016-04-01,N -Servicios sociales y de salud,22706766.585779756,973,23336861.855888754,1944738.4879907295
2016-04-01,"O -Otras actividades de servicios comunitarias, sociales y personales",13906093.521790702,793,17536057.404527996,1461338.1170439997
2016-04-01,P -Hogares privados con servicio doméstico,5772602.4476564275,1715,3365948.9490708034,280495.7457559003
2016-04-01,TOTAL GENERAL,357713993.1835321,15153,23606810.082725015,1967234.173560418
2016-04-01,TOTAL SECTOR PUBLICO,111425644.44195075,3399,32781890.097661298,2731824.174805108
2016-04-01,TOTAL EXCLUIDO SECTOR PUBLICO,246288348.74158132,11755,20951794.8738053,1745982.9061504416
2016-07-01,"A - Agricultura, ganadería, caza y silvicultura",10497188.542583648,919,11422403.201940859,951866.9334950716
2016-07-01,B - Pesca,1111882.0449270546,17,65404826.17217968,5450402.181014973
2016-07-01,C -Explotación de minas y canteras,8468405.93022247,95,89141115.05497338,7428426.254581115
