fecha_trimestre,asal_reg,asal_no_reg,no_asalariados,publicos,puestos_totales
2016-01-01,7213,4404,4718,3400,19735
2016-04-01,7148,4607,4749,3399,19902
2016-07-01,7139,4778,4737,3433,20087
2016-10-01,7198,4753,4957,3449,20356
2017-01-01,7228,4369,4842,3427,19866
2017-04-01,7197,4613,4766,3436,20012
2017-07-01,7237,4798,4967,3469,20472
2017-10-01,7321,4964,5258,3486,21028
2018-01-01,7345,4672,5001,3486,20505
2018-04-01,7285,4705,4978,3476,20444
2018-07-01,7251,4785,4983,3493,20511
2018-10-01,7233,4989,5104,3505,20831
2019-01-01,7230,4815,5184,3497,20726
2019-04-01,7159,4843,5168,3496,20666
2019-07-01,7138,4816,5285,3533,20772
2019-10-01,7107,5135,5501,3546,21289
2020-01-01,7065,4865,5388,3543,20862
2020-04-01,6813,3166,3678,3509,17166
2020-07-01,6787,3919,4653,3537,18896
2020-10-01,6832,4488,5362,3544,20226
2021-01-01,6902,4505,5423,3567,20397
2021-04-01,6920,4502,5201,3559,20183
2021-07-01,6960,4684,5292,3607,20543
2021-10-01,7062,5001,5564,3622,21249
2022-01-01,7164,5080,5595,3657,21495
2022-04-01,7198,5419,5528,3643,21788
2022-07-01,7274,5296,5514,3682,21766
2022-10-01,7357,5389,5798,3682,22225
2023-01-01,7442,5431,5767,3737,22377
2023-04-01,7448,5391,5528,3732,22099
2023-07-01,7508,5438,5536,3778,22260
2023-10-01,7511,5724,6047,3783,23065
2024-01-01,7425,5395,5830,3789,22439
2024-04-01,7306,5561,5666,3742,22276
2024-07-01,7290,5515,5644,3770,22219
2024-10-01,7345,5791,6291,3762,23189
2025-01-01,7360.27211610991,5436.381252630812,6106.621573041353,3786.0841773080656,22689.359119090142
2025-04-01,7371.471105303912,5566.298383925218,5847.54129219927,3750.4981496896735,22535.808931118074
