periodo,sector_agregado,valor
2004-01-01,"Actividades inmobiliarias, empresariales y de alquiler",50450.33445787902
2004-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,21071.474914248072
2004-01-01,"Agricultura, ganadería, caza y silvicultura",31507.3269866133
2004-01-01,"Comercio mayorista, minorista y reparaciones",58565.3159739285
2004-01-01,Construcción,14801.185459514658
2004-01-01,"Electricidad, gas y agua",8603.24552019097
2004-01-01,Enseñanza,16380.347905298948
2004-01-01,Explotación de minas y canteras,24027.489533785894
2004-01-01,Hogares privados con servicio doméstico,2918.8873275135065
2004-01-01,Hoteles y restaurantes,7234.787298106475
2004-01-01,Industria manufacturera,86448.0221689374
2004-01-01,Intermediación financiera,15012.872756416493
2004-01-01,"Otras actividades de servicios comunitarias, sociales y personales",11844.979805739427
2004-01-01,Pesca,1341.873284718661
2004-01-01,Servicios sociales y de salud,12435.382071201026
2004-01-01,"Transporte, almacenamiento y comunicaciones",28143.40724444478
2004-01-01,Total economía,390786.93270853726
2004-04-01,"Actividades inmobiliarias, empresariales y de alquiler",52928.42803268237
2004-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,21445.43258541668
2004-04-01,"Agricultura, ganadería, caza y silvicultura",65745.37114103443
2004-04-01,"Comercio mayorista, minorista y reparaciones",60894.07094977155
2004-04-01,Construcción,14555.301099634911
2004-04-01,"Electricidad, gas y agua",8742.80766059148
2004-04-01,Enseñanza,17003.853733085965
2004-04-01,Explotación de minas y canteras,24441.46370778426
2004-04-01,Hogares privados con servicio doméstico,3062.277710681242
2004-04-01,Hoteles y restaurantes,6353.045379963939
2004-04-01,Industria manufacturera,91700.16904467173
2004-04-01,Intermediación financiera,14558.300556858689
2004-04-01,"Otras actividades de servicios comunitarias, sociales y personales",12086.240277184266
2004-04-01,Pesca,2140.6402065278817
2004-04-01,Servicios sociales y de salud,13606.63798698936
2004-04-01,"Transporte, almacenamiento y comunicaciones",30478.544812228138
2004-04-01,Total economía,439742.5848851072
2004-07-01,"Actividades inmobiliarias, empresariales y de alquiler",54046.68078818389
2004-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,21755.43240444498
2004-07-01,"Agricultura, ganadería, caza y silvicultura",28753.566747384153
2004-07-01,"Comercio mayorista, minorista y reparaciones",60102.61577120757
2004-07-01,Construcción,15289.959686194012
2004-07-01,"Electricidad, gas y agua",8906.931528112696
2004-07-01,Enseñanza,17267.575984017505
2004-07-01,Explotación de minas y canteras,24618.477684840924
2004-07-01,Hogares privados con servicio doméstico,3029.860090009677
2004-07-01,Hoteles y restaurantes,6872.978024725694
2004-07-01,Industria manufacturera,93728.82575051162
2004-07-01,Intermediación financiera,15130.093408255309
2004-07-01,"Otras actividades de servicios comunitarias, sociales y personales",12625.696734481797
2004-07-01,Pesca,1177.3668319832943
2004-07-01,Servicios sociales y de salud,13687.034253752425
2004-07-01,"Transporte, almacenamiento y comunicaciones",29585.843525224813
2004-07-01,Total economía,406578.9392133305
2004-10-01,"Actividades inmobiliarias, empresariales y de alquiler",54912.019660075246
2004-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,22067.878023467772
2004-10-01,"Agricultura, ganadería, caza y silvicultura",30494.52557733764
2004-10-01,"Comercio mayorista, minorista y reparaciones",60576.37907520795
2004-10-01,Construcción,14972.455312655342
2004-10-01,"Electricidad, gas y agua",8556.63759828818
2004-10-01,Enseñanza,17577.81817495217
2004-10-01,Explotación de minas y canteras,24199.79235076712
2004-10-01,Hogares privados con servicio doméstico,3160.369112253366
2004-10-01,Hoteles y restaurantes,7283.32628738934
2004-10-01,Industria manufacturera,95588.30499616193
2004-10-01,Intermediación financiera,15616.368240184474
2004-10-01,"Otras actividades de servicios comunitarias, sociales y personales",12457.23963763454
2004-10-01,Pesca,1110.1020858527816
2004-10-01,Servicios sociales y de salud,13076.35959649392
2004-10-01,"Transporte, almacenamiento y comunicaciones",30951.8049978737
2004-10-01,Total economía,412601.3807265955
2004-Total,"Actividades inmobiliarias, empresariales y de alquiler",53084.365734705134
2004-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,21585.054481894374
2004-Total,"Agricultura, ganadería, caza y silvicultura",39125.19761309238
2004-Total,"Comercio mayorista, minorista y reparaciones",60034.59544252889
2004-Total,Construcción,14904.725389499732
2004-Total,"Electricidad, gas y agua",8702.40557679583
2004-Total,Enseñanza,17057.398949338643
2004-Total,Explotación de minas y canteras,24321.805819294554
2004-Total,Hogares privados con servicio doméstico,3042.848560114448
2004-Total,Hoteles y restaurantes,6936.034247546362
2004-Total,Industria manufacturera,91866.33049007066
2004-Total,Intermediación financiera,15079.408740428742
2004-Total,"Otras actividades de servicios comunitarias, sociales y personales",12253.539113760007
2004-Total,Pesca,1442.4956022706544
2004-Total,Servicios sociales y de salud,13201.353477109182
2004-Total,"Transporte, almacenamiento y comunicaciones",29789.900144942854
2004-Total,Total economía,412427.4593833926
2005-01-01,"Actividades inmobiliarias, empresariales y de alquiler",52631.11705398329
2005-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,22224.735472672473
2005-01-01,"Agricultura, ganadería, caza y silvicultura",35665.06911029442
2005-01-01,"Comercio mayorista, minorista y reparaciones",63579.08486538658
2005-01-01,Construcción,16323.794888297498
2005-01-01,"Electricidad, gas y agua",9171.338179646216
2005-01-01,Enseñanza,17479.472145984226
2005-01-01,Explotación de minas y canteras,23998.485412269623
2005-01-01,Hogares privados con servicio doméstico,3281.7936231191698
2005-01-01,Hoteles y restaurantes,7905.875450121056
2005-01-01,Industria manufacturera,91736.47799773766
2005-01-01,Intermediación financiera,15750.693988780238
2005-01-01,"Otras actividades de servicios comunitarias, sociales y personales",12940.939059702298
2005-01-01,Pesca,1305.3962469281391
2005-01-01,Servicios sociales y de salud,13825.7143544382
2005-01-01,"Transporte, almacenamiento y comunicaciones",31820.861751131462
2005-01-01,Total economía,419640.8496004924
2005-04-01,"Actividades inmobiliarias, empresariales y de alquiler",56091.413782253294
2005-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,22590.237962239684
2005-04-01,"Agricultura, ganadería, caza y silvicultura",91464.02176641906
2005-04-01,"Comercio mayorista, minorista y reparaciones",68153.38279051537
2005-04-01,Construcción,16485.835860866027
2005-04-01,"Electricidad, gas y agua",9210.44101694961
2005-04-01,Enseñanza,18023.061932767763
2005-04-01,Explotación de minas y canteras,24558.983720706583
